TOA5,LVDT 데이터_스무딩
2025-05-31 22:10,0.34540035362755817
2025-05-31 22:15,0.3439625020754128
2025-05-31 22:20,0.3515718979664574
2025-05-31 22:25,0.35189019484468875
2025-05-31 22:30,0.35001947864685556
2025-05-31 22:35,0.34951828872203805
2025-05-31 22:40,0.35314727395065754
2025-05-31 22:45,0.35484798674038287
2025-05-31 22:50,0.35750888001417597
2025-05-31 22:55,0.359217831
2025-05-31 23:00,0.36194016294829423
2025-05-31 23:05,0.36204897771326583
2025-05-31 23:10,0.35805387431943175
2025-05-31 23:15,0.35720110748935074
2025-05-31 23:20,0.356612542
2025-05-31 23:25,0.35842573383548043
2025-05-31 23:30,0.3631246872259646
2025-05-31 23:35,0.366244385
2025-05-31 23:40,0.36726225826462133
2025-05-31 23:45,0.3687632442855533
2025-05-31 23:50,0.3657089039000588
2025-05-31 23:55,0.36532738807857384
2025-06-01 0:00,0.3632411600382944
2025-06-01 0:05,0.3631056746450948
2025-06-01 0:10,0.36424628093873374
2025-06-01 0:15,0.3623464385273084
2025-06-01 0:20,0.3635210239470153
2025-06-01 0:25,0.3638625513036344
2025-06-01 0:30,0.3636011552611175
2025-06-01 0:35,0.36326719565156446
2025-06-01 0:40,0.36244757485453327
2025-06-01 0:45,0.3593594068144286
2025-06-01 0:50,0.3633595903279252
2025-06-01 0:55,0.3655762498579557
2025-06-01 1:00,0.3662552964033867
2025-06-01 1:05,0.3650063384978876
2025-06-01 1:10,0.3615614755649927
2025-06-01 1:15,0.35612850896736276
2025-06-01 1:20,0.35303272366067706
2025-06-01 1:25,0.3542125494102423
2025-06-01 1:30,0.355359733
2025-06-01 1:35,0.3542724301555983
2025-06-01 1:40,0.3516188337279947
2025-06-01 1:45,0.34303749209868706
2025-06-01 1:50,0.3403081948971225
2025-06-01 1:55,0.33804317227835595
2025-06-01 2:00,0.34123454772658013
2025-06-01 2:05,0.33507772524821644
2025-06-01 2:10,0.3380073900593574
2025-06-01 2:15,0.33383034614137386
2025-06-01 2:20,0.33329288462823226
2025-06-01 2:25,0.3371361407985091
2025-06-01 2:30,0.3330139703290354
2025-06-01 2:35,0.33390935598410576
2025-06-01 2:40,0.3329894902111207
2025-06-01 2:45,0.336846886
2025-06-01 2:50,0.34193612273845014
2025-06-01 2:55,0.3469695921048037
2025-06-01 3:00,0.3507013274142567
2025-06-01 3:05,0.34937939522103734
2025-06-01 3:10,0.3503380668163522
2025-06-01 3:15,0.35075277236457686
2025-06-01 3:20,0.34597901829014077
2025-06-01 3:25,0.3459401279933441
2025-06-01 3:30,0.3445177323557223
2025-06-01 3:35,0.3461372651827912
2025-06-01 3:40,0.34138963993483007
2025-06-01 3:45,0.3384987489039797
